"PURPOSE","ACCURACY","UNDERSTA","COOPERAT"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Cooperative"
"Good","Mostly true","Good","Cooperative"
"Good","Mostly true","Good","Cooperative"
"Good","Mostly true","Good","Cooperative"
"Good","Mostly true","Good","Cooperative"
"Good","Mostly true","Good","Cooperative"
"Good","Mostly true","Good","Cooperative"
"Good","Mostly true","Good","Cooperative"
"Good","Mostly true","Good","Cooperative"
"Good","Mostly true","Good","Cooperative"
"Good","Mostly true","Good","Cooperative"
"Good","Mostly true","Good","Cooperative"
"Good","Mostly true","Good","Cooperative"
"Good","Mostly true","Good","Cooperative"
"Good","Mostly true","Good","Cooperative"
"Good","Mostly true","Good","Cooperative"
"Good","Mostly true","Good","Cooperative"
"Good","Mostly true","Good","Cooperative"
"Good","Mostly true","Good","Cooperative"
"Good","Mostly true","Good","Cooperative"
"Good","Mostly true","Good","Cooperative"
"Good","Mostly true","Good","Cooperative"
"Good","Mostly true","Good","Cooperative"
"Good","Mostly true","Good","Cooperative"
"Good","Mostly true","Good","Cooperative"
"Good","Mostly true","Good","Cooperative"
"Good","Mostly true","Good","Cooperative"
"Good","Mostly true","Good","Cooperative"
"Good","Mostly true","Good","Cooperative"
"Good","Mostly true","Good","Cooperative"
"Good","Mostly true","Good","Cooperative"
"Good","Mostly true","Good","Cooperative"
"Good","Mostly true","Good","Cooperative"
"Good","Mostly true","Good","Cooperative"
"Good","Mostly true","Good","Cooperative"
"Good","Mostly true","Good","Impatient"
"Good","Mostly true","Good","Impatient"
"Good","Mostly true","Fair/Poor","Interested"
"Good","Mostly true","Fair/Poor","Interested"
"Good","Mostly true","Fair/Poor","Interested"
"Good","Mostly true","Fair/Poor","Interested"
"Good","Mostly true","Fair/Poor","Interested"
"Good","Mostly true","Fair/Poor","Interested"
"Good","Mostly true","Fair/Poor","Interested"
"Good","Mostly true","Fair/Poor","Interested"
"Good","Mostly true","Fair/Poor","Interested"
"Good","Mostly true","Fair/Poor","Interested"
"Good","Mostly true","Fair/Poor","Interested"
"Good","Mostly true","Fair/Poor","Interested"
"Good","Mostly true","Fair/Poor","Interested"
"Good","Mostly true","Fair/Poor","Interested"
"Good","Mostly true","Fair/Poor","Interested"
"Good","Mostly true","Fair/Poor","Interested"
"Good","Mostly true","Fair/Poor","Interested"
"Good","Mostly true","Fair/Poor","Interested"
"Good","Mostly true","Fair/Poor","Interested"
"Good","Mostly true","Fair/Poor","Interested"
"Good","Mostly true","Fair/Poor","Interested"
"Good","Mostly true","Fair/Poor","Interested"
"Good","Mostly true","Fair/Poor","Interested"
"Good","Mostly true","Fair/Poor","Interested"
"Good","Mostly true","Fair/Poor","Interested"
"Good","Mostly true","Fair/Poor","Interested"
"Good","Mostly true","Fair/Poor","Interested"
"Good","Mostly true","Fair/Poor","Interested"
"Good","Mostly true","Fair/Poor","Interested"
"Good","Mostly true","Fair/Poor","Interested"
"Good","Mostly true","Fair/Poor","Interested"
"Good","Mostly true","Fair/Poor","Interested"
"Good","Mostly true","Fair/Poor","Interested"
"Good","Mostly true","Fair/Poor","Interested"
"Good","Mostly true","Fair/Poor","Interested"
"Good","Mostly true","Fair/Poor","Interested"
"Good","Mostly true","Fair/Poor","Interested"
"Good","Mostly true","Fair/Poor","Interested"
"Good","Mostly true","Fair/Poor","Interested"
"Good","Mostly true","Fair/Poor","Interested"
"Good","Mostly true","Fair/Poor","Interested"
"Good","Mostly true","Fair/Poor","Interested"
"Good","Mostly true","Fair/Poor","Interested"
"Good","Mostly true","Fair/Poor","Interested"
"Good","Mostly true","Fair/Poor","Interested"
"Good","Mostly true","Fair/Poor","Interested"
"Good","Mostly true","Fair/Poor","Interested"
"Good","Mostly true","Fair/Poor","Interested"
"Good","Mostly true","Fair/Poor","Interested"
"Good","Mostly true","Fair/Poor","Interested"
"Good","Mostly true","Fair/Poor","Interested"
"Good","Mostly true","Fair/Poor","Interested"
"Good","Mostly true","Fair/Poor","Interested"
"Good","Mostly true","Fair/Poor","Interested"
"Good","Mostly true","Fair/Poor","Interested"
"Good","Mostly true","Fair/Poor","Interested"
"Good","Mostly true","Fair/Poor","Interested"
"Good","Mostly true","Fair/Poor","Interested"
"Good","Mostly true","Fair/Poor","Interested"
"Good","Mostly true","Fair/Poor","Interested"
"Good","Mostly true","Fair/Poor","Interested"
"Good","Mostly true","Fair/Poor","Interested"
"Good","Mostly true","Fair/Poor","Interested"
"Good","Mostly true","Fair/Poor","Interested"
"Good","Mostly true","Fair/Poor","Interested"
"Good","Mostly true","Fair/Poor","Interested"
"Good","Mostly true","Fair/Poor","Interested"
"Good","Mostly true","Fair/Poor","Interested"
"Good","Mostly true","Fair/Poor","Interested"
"Good","Mostly true","Fair/Poor","Interested"
"Good","Mostly true","Fair/Poor","Interested"
"Good","Mostly true","Fair/Poor","Cooperative"
"Good","Mostly true","Fair/Poor","Cooperative"
"Good","Mostly true","Fair/Poor","Cooperative"
"Good","Mostly true","Fair/Poor","Cooperative"
"Good","Mostly true","Fair/Poor","Cooperative"
"Good","Mostly true","Fair/Poor","Cooperative"
"Good","Mostly true","Fair/Poor","Cooperative"
"Good","Mostly true","Fair/Poor","Cooperative"
"Good","Mostly true","Fair/Poor","Cooperative"
"Good","Mostly true","Fair/Poor","Cooperative"
"Good","Mostly true","Fair/Poor","Cooperative"
"Good","Mostly true","Fair/Poor","Cooperative"
"Good","Mostly true","Fair/Poor","Cooperative"
"Good","Mostly true","Fair/Poor","Cooperative"
"Good","Mostly true","Fair/Poor","Cooperative"
"Good","Mostly true","Fair/Poor","Cooperative"
"Good","Mostly true","Fair/Poor","Cooperative"
"Good","Mostly true","Fair/Poor","Cooperative"
"Good","Mostly true","Fair/Poor","Cooperative"
"Good","Mostly true","Fair/Poor","Cooperative"
"Good","Mostly true","Fair/Poor","Cooperative"
"Good","Mostly true","Fair/Poor","Cooperative"
"Good","Mostly true","Fair/Poor","Cooperative"
"Good","Mostly true","Fair/Poor","Cooperative"
"Good","Mostly true","Fair/Poor","Cooperative"
"Good","Mostly true","Fair/Poor","Impatient"
"Good","Mostly true","Fair/Poor","Impatient"
"Good","Mostly true","Fair/Poor","Impatient"
"Good","Mostly true","Fair/Poor","Impatient"
"Good","Mostly true","Fair/Poor","Impatient"
"Good","Not true","Good","Interested"
"Good","Not true","Good","Interested"
"Good","Not true","Good","Interested"
"Good","Not true","Good","Interested"
"Good","Not true","Good","Interested"
"Good","Not true","Good","Interested"
"Good","Not true","Good","Interested"
"Good","Not true","Good","Interested"
"Good","Not true","Good","Interested"
"Good","Not true","Good","Interested"
"Good","Not true","Good","Interested"
"Good","Not true","Good","Interested"
"Good","Not true","Good","Interested"
"Good","Not true","Good","Interested"
"Good","Not true","Good","Interested"
"Good","Not true","Good","Interested"
"Good","Not true","Good","Interested"
"Good","Not true","Good","Interested"
"Good","Not true","Good","Interested"
"Good","Not true","Good","Interested"
"Good","Not true","Good","Interested"
"Good","Not true","Good","Interested"
"Good","Not true","Good","Interested"
"Good","Not true","Good","Interested"
"Good","Not true","Good","Interested"
"Good","Not true","Good","Interested"
"Good","Not true","Good","Interested"
"Good","Not true","Good","Interested"
"Good","Not true","Good","Interested"
"Good","Not true","Good","Interested"
"Good","Not true","Good","Interested"
"Good","Not true","Good","Interested"
"Good","Not true","Good","Interested"
"Good","Not true","Good","Interested"
"Good","Not true","Good","Interested"
"Good","Not true","Good","Interested"
"Good","Not true","Good","Interested"
"Good","Not true","Good","Interested"
"Good","Not true","Good","Interested"
"Good","Not true","Good","Interested"
"Good","Not true","Good","Interested"
"Good","Not true","Good","Interested"
"Good","Not true","Good","Interested"
"Good","Not true","Good","Interested"
"Good","Not true","Good","Interested"
"Good","Not true","Good","Interested"
"Good","Not true","Good","Interested"
"Good","Not true","Good","Interested"
"Good","Not true","Good","Interested"
"Good","Not true","Good","Interested"
"Good","Not true","Good","Interested"
